"Zaman damgası","What is your gender?","What is your age ?","Please enter your department ? (STAT, METE, ME etc.)","What is your faculty ?","What is your educational level ?","What is your CGPA ? (Please CHOOSE ""pass the question"" if you are a PREPARATION student.)","What is your individual monthly income ? (TL.)","How happy do you feel right now ?","How do you feel about the department you are in ?","How happy are you with your monthly income ?","How happy are you with the faculty members working in your department ?","How do you feel about living in Ankara ?","How do you feel about the online courses during the pandemic process ?","How do you feel about your social environment ?","How do you feel about activities that your university offers you ? [Sport Facilities]","How do you feel about activities that your university offers you ? [Spring Fest]","How do you feel about activities that your university offers you ? [University Clubs]","How do you feel about activities that your university offers you ? [University Cafeteria]","Please mark the most appropriate options: [I mostly think about past.]","Please mark the most appropriate options: [I like dark areas.]","Please mark the most appropriate options: [I mostly spend time with myself.]","Please mark the most appropriate options: [I mostly rely on people.]","Please mark the most appropriate options: [I rarely participate in social activities.]","Please mark the most appropriate options: [I avoid from communicating with strangers.]","Please mark the most appropriate options: [I always feel exhausted.]","Please mark the most appropriate options: [I want to change activities that I do in my leisure time.]","Please mark the most appropriate options: [I am happy with my appearance.]","Please mark the most appropriate options: [I am a pessimistic person. (I always see the bad side of the events.)]"
"2021/12/05 9:01:24 ÖS GMT+2","Female","18 - 21","GENE","Faculty of Arts and Sciences","Undergraduate","","0.00 – 999","Moderately Happy","Happy","Moderately Happy","Moderately Happy","Moderately Happy","Very Unhappy","Moderately Happy","Unhappy","Unhappy;Moderately Happy","Happy","Happy","Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Neutral","Neutral","Disagree"
"2021/12/05 9:01:45 ÖS GMT+2","Female","18 - 21","Chem ","Faculty of Arts and Sciences","Undergraduate","Pass the question","1500 – 1999","Moderately Happy","Moderately Happy","Unhappy","Unhappy","Happy","Unhappy","Moderately Happy","Moderately Happy","Unhappy","Unhappy","Unhappy","Agree","Agree","Neutral","Disagree","Agree","Neutral","Neutral","Agree","Agree","Disagree"
"2021/12/05 9:04:08 ÖS GMT+2","Male","18 - 21","Political Science","Faculty of Economic and Administrative Sciences","Undergraduate","Pass the question","1500 – 1999","Unhappy","Moderately Happy","Happy","Unhappy","Verry Happy","Unhappy","Very Unhappy","Moderately Happy","Verry Happy","Very Unhappy","Very Unhappy","Strongly Agree","Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Disagree","Agree"
"2021/12/05 9:05:52 ÖS GMT+2","Female","18 - 21","ARCH","Faculty of Architecture","Undergraduate","Pass the question","0.00 – 999","Happy","Verry Happy","Unhappy","Moderately Happy","Happy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Unhappy","Neutral","Disagree","Disagree","Agree","Agree","Neutral","Disagree","Disagree","Agree","Neutral"
"2021/12/05 9:07:09 ÖS GMT+2","Male","18 - 21","Aee","Faculty of Engineering","Undergraduate","3.50 – 4.00","2000 – 2499","Unhappy","Unhappy","Unhappy","Unhappy","Moderately Happy","Very Unhappy","Happy","Moderately Happy","Very Unhappy","Moderately Happy","Very Unhappy","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Neutral"
"2021/12/05 9:07:36 ÖS GMT+2","Female","21 - 25","Chem","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","1000 – 1499","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Very Unhappy","Happy","Moderately Happy","Happy","Moderately Happy","Very Unhappy","Neutral","Agree","Neutral","Agree","Disagree","Disagree","Agree","Agree","Agree","Strongly Agree"
"2021/12/05 9:10:08 ÖS GMT+2","Female","21 - 25","AEE","Faculty of Engineering","Undergraduate","3.00 – 3.49","2000 – 2499","Unhappy","Very Unhappy","Unhappy","Very Unhappy","Happy","Moderately Happy","Very Unhappy","Happy","Happy","Unhappy","Very Unhappy","Agree","Disagree","Agree","Disagree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree"
"2021/12/05 9:11:21 ÖS GMT+2","Female","18 - 21","CHE","Faculty of Engineering","Undergraduate","Pass the question","0.00 – 999","Moderately Happy","Moderately Happy","Very Unhappy","Moderately Happy","Moderately Happy","Very Unhappy","Very Unhappy","Moderately Happy","Very Unhappy","Moderately Happy","Very Unhappy","Neutral","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2021/12/05 9:11:54 ÖS GMT+2","Female","21 - 25","Stat","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","0.00 – 999","Moderately Happy","Happy","Unhappy","Happy","Happy","Moderately Happy","Moderately Happy","Happy","Unhappy","Happy","Very Unhappy","Agree","Neutral","","Agree","Disagree","Disagree","Agree","Agree","Disagree","Agree"
"2021/12/05 9:12:34 ÖS GMT+2","Male","18 - 21","EE","Faculty of Engineering","Undergraduate","3.00 – 3.49","0.00 – 999","Happy","Moderately Happy","Unhappy","Moderately Happy","Verry Happy","Moderately Happy","Unhappy","Moderately Happy","Moderately Happy","Happy","Happy","Disagree","Neutral","Agree","Disagree","Agree","Neutral","Neutral","Agree","Strongly Agree","Disagree"
"2021/12/05 9:12:42 ÖS GMT+2","Male","18 - 21","EEE","Faculty of Engineering","Preparation","Pass the question","1000 – 1499","Unhappy","Happy","Unhappy","Unhappy","Unhappy","Very Unhappy","Moderately Happy","Moderately Happy","Happy","Happy","Very Unhappy","Agree","Agree","Strongly Disagree","Disagree","Disagree","Neutral","Disagree","Agree","Disagree","Strongly Agree"
"2021/12/05 9:17:30 ÖS GMT+2","Male","18 - 21","CHE","Faculty of Engineering","Undergraduate","2.00 – 2.49","2000 – 2499","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Very Unhappy","Moderately Happy","Unhappy","Very Unhappy","Unhappy","Very Unhappy","Strongly Agree","Neutral","Neutral","Neutral","Neutral","Disagree","Agree","Agree","Disagree","Agree"
"2021/12/05 9:18:56 ÖS GMT+2","Female","21 - 25","FDE","Faculty of Engineering","Undergraduate","2.00 – 2.49","0.00 – 999","Moderately Happy","Moderately Happy","Unhappy","Happy","Moderately Happy","Very Unhappy","Happy","Verry Happy","Happy","Moderately Happy","Happy","Agree","Agree","Neutral","Agree","Neutral","Disagree","Neutral","Neutral","Agree","Neutral"
"2021/12/05 9:21:14 ÖS GMT+2","Female","18 - 21","Aee","Faculty of Engineering","Undergraduate","3.00 – 3.49","1000 – 1499","Very Unhappy","Happy","Very Unhappy","Moderately Happy","Moderately Happy","Very Unhappy","Moderately Happy","Verry Happy","Verry Happy","Verry Happy","Very Unhappy","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Neutral","Strongly Disagree"
"2021/12/05 9:23:32 ÖS GMT+2","Male","18 - 21","Aee","Faculty of Engineering","Undergraduate","3.50 – 4.00","0.00 – 999","Moderately Happy","Verry Happy","Unhappy","Moderately Happy","Very Unhappy","Moderately Happy","Unhappy","Very Unhappy","Unhappy","Moderately Happy","Very Unhappy","Strongly Disagree","Neutral","Strongly Agree","Neutral","Strongly Agree","Neutral","Agree","Strongly Agree","Strongly Agree","Strongly Disagree"
"2021/12/05 9:26:39 ÖS GMT+2","Male","18 - 21","AEE","Faculty of Engineering","Undergraduate","2.00 – 2.49","1000 – 1499","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Unhappy","Moderately Happy","Unhappy","Happy","Very Unhappy","Strongly Agree","Agree","Neutral","Disagree","Neutral","Agree","Strongly Agree","Strongly Agree","Agree","Disagree"
"2021/12/05 9:30:03 ÖS GMT+2","Male","18 - 21","ME","Faculty of Engineering","Undergraduate","2.50 – 2.99","1000 – 1499","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Moderately Happy","Unhappy","Unhappy","Moderately Happy","Unhappy","Unhappy","Very Unhappy","Neutral","Agree","Neutral","Disagree","Disagree","Neutral","Disagree","Neutral","Agree","Agree"
"2021/12/05 9:41:00 ÖS GMT+2","Female","18 - 21","pete","Faculty of Engineering","Undergraduate","2.00 – 2.49","0.00 – 999","Very Unhappy","Happy","Very Unhappy","Moderately Happy","Happy","Very Unhappy","Happy","Unhappy","Unhappy","Moderately Happy","Happy","Strongly Agree","Disagree","Agree","Disagree","Neutral","Agree","Neutral","Agree","Neutral","Disagree"
"2021/12/05 9:47:43 ÖS GMT+2","Female","21 - 25","EE","Faculty of Engineering","Undergraduate","3.00 – 3.49","1000 – 1499","Moderately Happy","Moderately Happy","Happy","Moderately Happy","Very Unhappy","Verry Happy","Happy","Moderately Happy","Very Unhappy","Moderately Happy","Moderately Happy","Neutral","Agree","Strongly Agree","Neutral","Neutral","Disagree","Disagree","Agree","Neutral","Disagree"
"2021/12/05 9:51:02 ÖS GMT+2","Male","18 - 21","Aee","Faculty of Engineering","Undergraduate","","2500 +","Very Unhappy","Moderately Happy","Happy","Moderately Happy","Very Unhappy","Very Unhappy","Happy","Verry Happy","Happy","Moderately Happy","Very Unhappy","Neutral","Strongly Agree","Strongly Agree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Neutral"
"2021/12/05 9:53:45 ÖS GMT+2","Male","18 - 21","AEE","Faculty of Engineering","Undergraduate","2.50 – 2.99","1000 – 1499","Very Unhappy","Happy","Moderately Happy","Unhappy","Happy","Very Unhappy","Happy","Moderately Happy","Happy","Happy","Very Unhappy","Neutral","Neutral","Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree"
"2021/12/05 9:53:56 ÖS GMT+2","Male","18 - 21","STAT","Faculty of Arts and Sciences","Undergraduate","3.50 – 4.00","0.00 – 999","Happy","Verry Happy","Very Unhappy","Happy","Moderately Happy","Moderately Happy","Moderately Happy","","","","","Disagree","Disagree","Strongly Agree","Strongly Disagree","Agree","Neutral","Agree","Agree","Agree","Strongly Disagree"
"2021/12/05 9:55:42 ÖS GMT+2","Female","18 - 21","ID","Faculty of Architecture","Undergraduate","Pass the question","1000 – 1499","Moderately Happy","Moderately Happy","Happy","Unhappy","Moderately Happy","Happy","Moderately Happy","Happy","Happy","Verry Happy","Very Unhappy","Strongly Agree","Disagree","Disagree","Agree","Disagree","Strongly Disagree","Agree","Neutral","Strongly Agree","Agree"
"2021/12/05 9:56:04 ÖS GMT+2","Female","21 - 25","STAT","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","0.00 – 999","Moderately Happy","Happy","Unhappy","Verry Happy","Moderately Happy","Happy","Moderately Happy","Happy","Happy","Happy","Moderately Happy","Strongly Agree","Agree","Disagree","Strongly Disagree","Neutral","Disagree","Neutral","Neutral","Neutral","Disagree"
"2021/12/05 9:57:03 ÖS GMT+2","Female","18 - 21","Aee","Faculty of Engineering","Undergraduate","3.50 – 4.00","0.00 – 999","Moderately Happy","Verry Happy","Moderately Happy","Happy","Happy","Very Unhappy","Unhappy","","","","","Agree","Strongly Agree","Agree","Disagree","Neutral","Agree","Strongly Agree","Strongly Agree","Agree","Agree"
"2021/12/05 10:04:08 ÖS GMT+2","Male","21 - 25","AEE","Faculty of Engineering","Undergraduate","3.00 – 3.49","1500 – 1999","Happy","Verry Happy","Happy","Happy","Happy","Unhappy","Happy","Happy","Moderately Happy","Happy","Unhappy","Disagree","Strongly Disagree","Neutral","Agree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree"
"2021/12/05 10:05:09 ÖS GMT+2","Female","21 - 25","EE","Faculty of Engineering","Undergraduate","2.50 – 2.99","1500 – 1999","Unhappy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Happy","Happy","Unhappy","Moderately Happy","Unhappy","Disagree","Neutral","Neutral","Disagree","Neutral","Agree","Strongly Agree","Disagree","Neutral","Agree"
"2021/12/05 10:26:13 ÖS GMT+2","Female","18 - 21","BIOL","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","0.00 – 999","Unhappy","Moderately Happy","Unhappy","Moderately Happy","Happy","Moderately Happy","Unhappy","Unhappy","Happy","Happy","Very Unhappy","Disagree","Strongly Disagree","Agree","Strongly Disagree","Disagree","Neutral","Disagree","Strongly Agree","Agree","Disagree"
"2021/12/05 11:06:53 ÖS GMT+2","Male","18 - 21","PETE ","Faculty of Engineering","Undergraduate","2.00 – 2.49","1000 – 1499","Unhappy","Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Agree","Disagree","Agree","Agree","Agree","Strongly Disagree","Agree","Strongly Agree","Agree","Disagree"
"2021/12/05 11:17:08 ÖS GMT+2","Male","18 - 21","STAT","Faculty of Arts and Sciences","Undergraduate","3.00 – 3.49","1500 – 1999","Moderately Happy","Happy","Happy","Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Neutral","Disagree","Agree","Neutral","Agree","Strongly Disagree","Neutral","Agree","Strongly Agree","Disagree"
"2021/12/05 11:35:05 ÖS GMT+2","Male","18 - 21","ME","Faculty of Engineering","Undergraduate","2.50 – 2.99","0.00 – 999","Happy","Moderately Happy","Very Unhappy","Happy","Moderately Happy","Unhappy","Happy","Happy","Unhappy","Happy","Happy","Agree","Strongly Disagree","Neutral","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Strongly Disagree"
"2021/12/06 12:05:35 ÖÖ GMT+2","Male","18 - 21","Industrial Design","Faculty of Architecture","Undergraduate","1.00 – 1.99","1500 – 1999","Happy","Unhappy","Happy","Unhappy","Verry Happy","Verry Happy","Happy","Verry Happy","Verry Happy","Verry Happy","Verry Happy","Neutral","Disagree","Agree","Strongly Agree","Neutral","Strongly Disagree","Agree","Strongly Agree","Disagree","Strongly Disagree"
"2021/12/06 1:21:26 ÖÖ GMT+2","Male","18 - 21","ME","Faculty of Engineering","Undergraduate","2.50 – 2.99","2500 +","Moderately Happy","Moderately Happy","Happy","Unhappy","Happy","Happy","Happy","Moderately Happy","Happy","Verry Happy","Unhappy","Disagree","Strongly Agree","Neutral","Disagree","Strongly Disagree","Strongly Disagree","Neutral","Agree","Neutral","Strongly Disagree"
"2021/12/06 8:32:23 ÖÖ GMT+2","Female","21 - 25","Stat","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","1500 – 1999","Happy","Happy","Happy","Unhappy","Moderately Happy","Very Unhappy","Happy","Verry Happy","Verry Happy","Happy","Unhappy","Neutral","Strongly Disagree","Strongly Agree","Neutral","Disagree","Disagree","Strongly Disagree","Disagree","Agree","Strongly Disagree"
"2021/12/06 10:16:42 ÖÖ GMT+2","Female","21 - 25","AEE","Faculty of Engineering","Undergraduate","3.00 – 3.49","0.00 – 999","Very Unhappy","Verry Happy","Unhappy","Happy","Moderately Happy","Verry Happy","Verry Happy","Happy","Happy","Moderately Happy","Happy","Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Strongly Agree"
"2021/12/06 10:19:04 ÖÖ GMT+2","Female","18 - 21","AEE","Faculty of Engineering","Undergraduate","2.00 – 2.49","1500 – 1999","Unhappy","Moderately Happy","Verry Happy","Moderately Happy","Moderately Happy","Very Unhappy","Happy","Happy","Verry Happy","Verry Happy","Happy","Strongly Agree","Agree","Disagree","Agree","Strongly Disagree","Neutral","Agree","Neutral","Agree","Neutral"
"2021/12/06 12:18:43 ÖS GMT+2","Female","18 - 21","FLE","Faculty of Education","Undergraduate","3.50 – 4.00","1000 – 1499","Unhappy","Happy","Unhappy","Happy","Happy","Happy","Moderately Happy","Happy","Happy","Happy","Moderately Happy","Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Neutral","Disagree","Disagree"
"2021/12/06 12:26:04 ÖS GMT+2","Female","18 - 21","Ceng","Faculty of Engineering","Undergraduate","Pass the question","2000 – 2499","Happy","Verry Happy","Happy","Happy","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Moderately Happy","Happy","Moderately Happy","Neutral","","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Neutral","Disagree"
"2021/12/06 10:05:17 ÖS GMT+2","Male","21 - 25","Pete","Faculty of Engineering","Undergraduate","2.00 – 2.49","1000 – 1499","Moderately Happy","Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Verry Happy","Happy","Unhappy","Neutral","Strongly Agree","Agree","Neutral","Neutral","Neutral","Disagree","Disagree","Agree","Strongly Disagree"
"2021/12/07 9:05:24 ÖS GMT+2","Female","21 - 25","Stat","Faculty of Arts and Sciences","Undergraduate","3.00 – 3.49","0.00 – 999","Unhappy","Happy","Unhappy","Happy","Happy","Unhappy","Happy","Moderately Happy","Unhappy","Moderately Happy","Moderately Happy","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Neutral","Agree"
"2021/12/07 10:18:17 ÖS GMT+2","Male","21 - 25","econ","Faculty of Economic and Administrative Sciences","Undergraduate","Pass the question","2500 +","Unhappy","Moderately Happy","Happy","Unhappy","Verry Happy","Very Unhappy","Unhappy","Moderately Happy","Verry Happy","Very Unhappy","Very Unhappy","Disagree","Neutral","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Agree","Strongly Agree","Strongly Disagree"
"2021/12/07 10:21:33 ÖS GMT+2","Male","18 - 21","FLE","Faculty of Education","Undergraduate","3.50 – 4.00","1000 – 1499","Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Unhappy","Unhappy","Moderately Happy","Moderately Happy","Very Unhappy","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Agree","Disagree","Agree","Disagree","Disagree","Strongly Agree"
"2021/12/07 10:22:47 ÖS GMT+2","Female","18 - 21","ChE","Faculty of Engineering","Undergraduate","Pass the question","1500 – 1999","Moderately Happy","Moderately Happy","Unhappy","Unhappy","Happy","Very Unhappy","Happy","Happy","Very Unhappy","Moderately Happy","Unhappy","Neutral","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Agree","Agree","Neutral"
"2021/12/07 10:26:21 ÖS GMT+2","Male","18 - 21","EEE","Faculty of Engineering","Undergraduate","3.50 – 4.00","1000 – 1499","Unhappy","Moderately Happy","Unhappy","Happy","Moderately Happy","Very Unhappy","Unhappy","Moderately Happy","Happy","Happy","Very Unhappy","Neutral","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Disagree","Agree"
"2021/12/07 11:09:33 ÖS GMT+2","Male","18 - 21","CE","Faculty of Engineering","Undergraduate","2.00 – 2.49","2000 – 2499","Unhappy","Unhappy","Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Agree","Agree","Neutral","Disagree","Disagree","Strongly Disagree","Agree","Agree","Neutral","Disagree"
"2021/12/07 11:15:02 ÖS GMT+2","Male","18 - 21","PHYS","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","2000 – 2499","Very Unhappy","Moderately Happy","Very Unhappy","Moderately Happy","Moderately Happy","Very Unhappy","Unhappy","Moderately Happy","Unhappy","Moderately Happy","Unhappy","Agree","Disagree","Neutral","Disagree","Neutral","Disagree","Neutral","Agree","Disagree","Neutral"
"2021/12/07 11:30:07 ÖS GMT+2","Male","18 - 21","ME","Faculty of Engineering","Undergraduate","Pass the question","0.00 – 999","Unhappy","Moderately Happy","Very Unhappy","Moderately Happy","","Unhappy","Very Unhappy","","","","","Agree","Agree","Agree","Neutral","Strongly Agree","Agree","Agree","Strongly Agree","Neutral","Agree"
"2021/12/07 11:30:22 ÖS GMT+2","Male","18 - 21","EEE","Faculty of Engineering","Preparation","Pass the question","0.00 – 999","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Agree","Agree","Agree","Agree","Neutral","Disagree","Disagree","Agree","Disagree","Strongly Disagree"
"2021/12/07 11:32:52 ÖS GMT+2","Male","18 - 21","","Faculty of Engineering","Undergraduate","Pass the question","1500 – 1999","Moderately Happy","Happy","Unhappy","Happy","Verry Happy","Happy","Happy","Unhappy","Happy","Verry Happy","Happy","Agree","Strongly Agree","Neutral","Disagree","Disagree","Disagree","Neutral","Disagree","Neutral","Agree"
"2021/12/07 11:33:28 ÖS GMT+2","Female","18 - 21","EEE","Faculty of Engineering","Preparation","","1500 – 1999","Moderately Happy","Happy","Unhappy","Happy","Happy","Moderately Happy","Happy","Happy","Happy","Happy","Very Unhappy","Agree","Agree","Disagree","Disagree","Disagree","Neutral","Agree","Agree","Neutral","Agree"
"2021/12/09 2:36:11 ÖS GMT+2","Female","21 - 25","EME","Faculty of Education","Undergraduate","2.50 – 2.99","1000 – 1499","Unhappy","Moderately Happy","Unhappy","Moderately Happy","Happy","Unhappy","Happy","Happy","Happy","Moderately Happy","Unhappy","Strongly Agree","Agree","Agree","Neutral","Disagree","Disagree","Neutral","Agree","Neutral","Neutral"
"2021/12/21 2:00:54 ÖS GMT+2","Male","21 - 25","STAT","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","2500 +","Unhappy","Moderately Happy","Happy","Moderately Happy","Moderately Happy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Neutral","Neutral","Agree","Agree","Strongly Agree","Neutral","Agree","Neutral","Neutral","Disagree"
"2021/12/21 2:21:50 ÖS GMT+2","Female","21 - 25","STAT","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","2000 – 2499","Moderately Happy","Happy","Moderately Happy","Happy","Moderately Happy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Unhappy","Neutral","Agree","Neutral","Neutral","Disagree","Neutral","Neutral","Agree","Strongly Agree","Agree"
"2021/12/21 2:29:53 ÖS GMT+2","Male","21 - 25","STAT ","Faculty of Arts and Sciences","Undergraduate","2.00 – 2.49","1500 – 1999","","Moderately Happy","Happy","Happy","Happy","Very Unhappy","Moderately Happy","Unhappy","Moderately Happy","Moderately Happy","Very Unhappy","Strongly Agree","Strongly Disagree","Agree","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Agree"
"2021/12/21 2:41:20 ÖS GMT+2","Male","21 - 25","İr","Faculty of Economic and Administrative Sciences","Undergraduate","3.00 – 3.49","2500 +","Unhappy","Happy","Happy","Happy","Unhappy","Very Unhappy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Very Unhappy","Neutral","Disagree","Agree","Strongly Disagree","Disagree","Agree","Neutral","","Disagree","Neutral"
